country_code,country,year,renewable_share,energy_use_per_capita,population,gdp_per_capita,total_energy_use,energy_intensity
FRA,France,2021,16.2,3469.83398574773,67842811.0,38030.8571685178,235403291296.45993,0.09123733315745725
GBR,United Kingdom,1990,0.7,3597.3010525851,57247586.0,30071.2085616955,205936801375.75604,0.11962608836305028
GBR,United Kingdom,1991,0.6,3707.89443811568,57424897.0,29590.9054053428,212925456195.6658,0.12530520399170345
GBR,United Kingdom,1992,0.8,3684.81144729003,57580402.0,29893.0776793743,212172924429.16174,0.12326637915347491
GBR,United Kingdom,1993,0.8,3713.443124142,57718614.0,30862.4118121654,214334790293.30618,0.12032251875656162
GBR,United Kingdom,1994,1.0,3733.80487842151,57865745.0,32308.7952722115,216059400974.4951,0.11556620564038553
GBR,United Kingdom,1995,1.1,3729.55293237334,58019030.0,33362.0161272507,216385043469.9568,0.11179039414608319
GBR,United Kingdom,1996,0.9,3880.31355582242,58166950.0,34147.3459054033,225706004585.8449,0.11363441148755338
GBR,United Kingdom,1997,1.0,3760.81073205794,58316954.0,35721.6105928791,219319026464.1292,0.10528110770032403
GBR,United Kingdom,1998,1.0,3787.50885825831,58487141.0,36773.9287790406,221520564631.7028,0.1029944034812242
GBR,United Kingdom,1999,0.9,3784.31837908023,58682466.0,37730.7155591161,222073134613.55072,0.1002980813642667
GBR,United Kingdom,2000,1.0,3786.40281086309,58892514.0,39297.1366317267,222990780548.3939,0.09635314772033855
GBR,United Kingdom,2001,0.8,3785.6601241847,59119673.0,40082.1359356822,223806988630.93887,0.09444756462727834
GBR,United Kingdom,2002,1.0,3716.62337347063,59370479.0,40594.932929345,220657709945.5472,0.09155387397583263
GBR,United Kingdom,2003,0.9,3764.06191688174,59647577.0,41706.8303930126,224517173019.9712,0.09025049090070283
GBR,United Kingdom,2004,1.1,3697.50381825103,59987905.0,42434.8209023638,221805507786.38007,0.08713372036513212
GBR,United Kingdom,2005,1.4,3689.55051742336,60401206.0,43320.5628684438,222853300850.29495,0.08516857291600329
GBR,United Kingdom,2006,1.6,3601.05090812166,60846820.0,43944.9985799069,219112496417.3152,0.08194449936262323
GBR,United Kingdom,2007,1.8,3443.58715993443,61322463.0,44882.141312304,211169246202.35416,0.07672510845623144
GBR,United Kingdom,2008,2.4,3370.1581117517,61806995.0,44508.2874631479,208299345562.24677,0.07571978846730809
GBR,United Kingdom,2009,3.0,3144.00201324492,62276270.0,42146.5095879962,195796718257.38422,0.07459697241786226
GBR,United Kingdom,2010,3.2,3235.05383786127,62766365.0,42762.720840223,203052569981.8513,0.075651262929424
GBR,United Kingdom,2011,4.0,2973.83120573757,63258810.0,42791.0934313474,188121023215.82385,0.06949649955799063
GBR,United Kingdom,2012,4.2,3028.77223348044,63711000.0,43136.7006795996,192966107767.2723,0.0702133493235105
GBR,United Kingdom,2013,5.2,2962.29760006424,64139000.0,43585.1936238647,189998805770.5203,0.06796568636653387
GBR,United Kingdom,2014,6.6,2767.96188412765,64620000.0,44627.8818268644,178865696952.32877,0.06202315168947667
GBR,United Kingdom,2015,7.7,2774.79682774608,65088000.0,45255.3449216209,180605975924.33685,0.06131423443024983
GBR,United Kingdom,2016,7.7,2696.97999020896,65607000.0,45888.0105130748,176940766217.63922,0.05877308604260613
GBR,United Kingdom,2017,8.8,2658.99577329303,65966000.0,47018.0254757676,175403315181.04803,0.05655268902483873
